,City,Total Price,Rupee_per_area(sq-feet),Area,Apartement
37033,Greater Noida,67.7,4299.0,1575,3.0
37034,Greater Noida,76.21,5293.0,1440,3.0
37036,Greater Noida,37.39,3800.0,984,2.0
37037,Noida,3.87,11000.0,3525,4.0
37039,Lucknow,49.0,4000.0,1225,2.0
37040,Ghaziabad,57.25,5000.0,1145,2.0
37041,Ghaziabad,2.06,8300.0,2485,3.0
37042,Greater Noida,53.12,4660.0,1140,2.0
37043,Greater Noida,47.31,3850.0,1229,2.0
37044,Greater Noida,78.75,4716.0,1670,3.0
37046,Greater Noida,71.89,4424.0,1625,3.0
37047,Ghaziabad,17.03,4518.0,377,1.0
37048,Ghaziabad,28.8,2400.0,1200,2.0
37049,Ghaziabad,98.0,4900.0,2000,3.0
37051,Greater Noida,51.89,4850.0,1070,2.0
37052,Greater Noida,78.72,4700.0,1675,3.0
37053,Greater Noida,67.7,4299.0,1575,3.0
37054,Greater Noida,76.21,5293.0,1440,3.0
37056,Greater Noida,37.39,3800.0,984,2.0
37057,Noida,3.87,11000.0,3525,4.0
37059,Lucknow,49.0,4000.0,1225,2.0
37060,Ghaziabad,57.25,5000.0,1145,2.0
37061,Ghaziabad,2.06,8300.0,2485,3.0
37062,Greater Noida,53.12,4660.0,1140,2.0
37063,Greater Noida,47.31,3850.0,1229,2.0
37064,Greater Noida,78.75,4716.0,1670,3.0
37066,Greater Noida,71.89,4424.0,1625,3.0
37067,Ghaziabad,17.03,4518.0,377,1.0
37068,Ghaziabad,28.8,2400.0,1200,2.0
37069,Ghaziabad,98.0,4900.0,2000,3.0
37071,Greater Noida,51.89,4850.0,1070,2.0
37072,Greater Noida,78.72,4700.0,1675,3.0
37073,Greater Noida,67.7,4299.0,1575,3.0
37074,Greater Noida,76.21,5293.0,1440,3.0
37076,Greater Noida,37.39,3800.0,984,2.0
37077,Noida,3.87,11000.0,3525,4.0
37079,Lucknow,49.0,4000.0,1225,2.0
37080,Ghaziabad,57.25,5000.0,1145,2.0
37081,Ghaziabad,2.06,8300.0,2485,3.0
37082,Greater Noida,53.12,4660.0,1140,2.0
37083,Greater Noida,47.31,3850.0,1229,2.0
37084,Greater Noida,78.75,4716.0,1670,3.0
37086,Greater Noida,71.89,4424.0,1625,3.0
37087,Ghaziabad,17.03,4518.0,377,1.0
37088,Ghaziabad,28.8,2400.0,1200,2.0
37089,Ghaziabad,98.0,4900.0,2000,3.0
37091,Greater Noida,51.89,4850.0,1070,2.0
37092,Greater Noida,78.72,4700.0,1675,3.0
37093,Greater Noida,67.7,4299.0,1575,3.0
37094,Greater Noida,76.21,5293.0,1440,3.0
37096,Greater Noida,37.39,3800.0,984,2.0
37097,Noida,3.87,11000.0,3525,4.0
37099,Lucknow,49.0,4000.0,1225,2.0
37100,Ghaziabad,57.25,5000.0,1145,2.0
37101,Ghaziabad,2.06,8300.0,2485,3.0
37102,Greater Noida,53.12,4660.0,1140,2.0
37103,Greater Noida,47.31,3850.0,1229,2.0
37104,Greater Noida,78.75,4716.0,1670,3.0
37106,Greater Noida,71.89,4424.0,1625,3.0
37107,Ghaziabad,17.03,4518.0,377,1.0
37108,Ghaziabad,28.8,2400.0,1200,2.0
37109,Ghaziabad,98.0,4900.0,2000,3.0
37111,Greater Noida,51.89,4850.0,1070,2.0
37112,Greater Noida,78.72,4700.0,1675,3.0
37113,Greater Noida,67.7,4299.0,1575,3.0
37114,Greater Noida,76.21,5293.0,1440,3.0
37116,Greater Noida,37.39,3800.0,984,2.0
37117,Noida,3.87,11000.0,3525,4.0
37119,Lucknow,49.0,4000.0,1225,2.0
37120,Ghaziabad,57.25,5000.0,1145,2.0
37121,Ghaziabad,2.06,8300.0,2485,3.0
37122,Greater Noida,53.12,4660.0,1140,2.0
37123,Greater Noida,47.31,3850.0,1229,2.0
37124,Greater Noida,78.75,4716.0,1670,3.0
37126,Greater Noida,71.89,4424.0,1625,3.0
37127,Ghaziabad,17.03,4518.0,377,1.0
37128,Ghaziabad,28.8,2400.0,1200,2.0
37129,Ghaziabad,98.0,4900.0,2000,3.0
37131,Greater Noida,51.89,4850.0,1070,2.0
37132,Greater Noida,78.72,4700.0,1675,3.0
37133,Greater Noida,67.7,4299.0,1575,3.0
37134,Greater Noida,76.21,5293.0,1440,3.0
37136,Greater Noida,37.39,3800.0,984,2.0
37137,Noida,3.87,11000.0,3525,4.0
37139,Lucknow,49.0,4000.0,1225,2.0
37140,Ghaziabad,57.25,5000.0,1145,2.0
37141,Ghaziabad,2.06,8300.0,2485,3.0
37142,Greater Noida,53.12,4660.0,1140,2.0
37143,Greater Noida,47.31,3850.0,1229,2.0
37144,Greater Noida,78.75,4716.0,1670,3.0
37146,Greater Noida,71.89,4424.0,1625,3.0
37147,Ghaziabad,17.03,4518.0,377,1.0
37148,Ghaziabad,28.8,2400.0,1200,2.0
37149,Ghaziabad,98.0,4900.0,2000,3.0
37151,Greater Noida,51.89,4850.0,1070,2.0
37152,Greater Noida,78.72,4700.0,1675,3.0
37153,Greater Noida,67.7,4299.0,1575,3.0
37154,Greater Noida,76.21,5293.0,1440,3.0
37156,Greater Noida,37.39,3800.0,984,2.0
37157,Noida,3.87,11000.0,3525,4.0
37159,Lucknow,49.0,4000.0,1225,2.0
37160,Ghaziabad,57.25,5000.0,1145,2.0
37161,Ghaziabad,2.06,8300.0,2485,3.0
37162,Greater Noida,53.12,4660.0,1140,2.0
37163,Greater Noida,47.31,3850.0,1229,2.0
37164,Greater Noida,78.75,4716.0,1670,3.0
37166,Greater Noida,71.89,4424.0,1625,3.0
37167,Ghaziabad,17.03,4518.0,377,1.0
37168,Ghaziabad,28.8,2400.0,1200,2.0
37169,Ghaziabad,98.0,4900.0,2000,3.0
37171,Greater Noida,51.89,4850.0,1070,2.0
37172,Greater Noida,78.72,4700.0,1675,3.0
37173,Greater Noida,67.7,4299.0,1575,3.0
37174,Greater Noida,76.21,5293.0,1440,3.0
37176,Greater Noida,37.39,3800.0,984,2.0
37177,Noida,3.87,11000.0,3525,4.0
37179,Lucknow,49.0,4000.0,1225,2.0
37180,Ghaziabad,57.25,5000.0,1145,2.0
37181,Ghaziabad,2.06,8300.0,2485,3.0
37182,Greater Noida,53.12,4660.0,1140,2.0
37183,Greater Noida,47.31,3850.0,1229,2.0
37184,Greater Noida,78.75,4716.0,1670,3.0
37186,Greater Noida,71.89,4424.0,1625,3.0
37187,Ghaziabad,17.03,4518.0,377,1.0
37188,Ghaziabad,28.8,2400.0,1200,2.0
37189,Ghaziabad,98.0,4900.0,2000,3.0
37191,Greater Noida,51.89,4850.0,1070,2.0
37192,Greater Noida,78.72,4700.0,1675,3.0
37193,Greater Noida,67.7,4299.0,1575,3.0
37194,Greater Noida,76.21,5293.0,1440,3.0
37196,Greater Noida,37.39,3800.0,984,2.0
37197,Noida,3.87,11000.0,3525,4.0
